,BROADWAY/W 170 ST,W 135 ST/RIVERSIDE DR,BROADWAY/W 143 ST,W 135 ST/BROADWAY,AV OF THE AMERICAS/W 42 ST,BROADWAY/W 141 ST,5 AV/W 46 ST,RIVERSIDE DR/TIEMANN PL,BROADWAY/W 63 ST,BROADWAY/W 65 ST,BROADWAY/W 164 ST,BROADWAY/W 151 ST,BROADWAY/W 153 ST,BROADWAY/W 64 ST,COLUMBUS CIR/8 AV,BROADWAY/W 178 ST,BROADWAY/W 147 ST,AV OF THE AMERICAS/W 34 ST,AV OF THE AMERICAS/W 54 ST,RIVERSIDE DR/W 122 ST,BROADWAY/W 149 ST,BROADWAY/W 163 ST,RIVERSIDE DR/W 97 ST,BROADWAY/W 175 ST,RIVERSIDE DR/W 100 ST,5 AV/W 35 ST,5 AV/W 33 ST,BROADWAY/W 145 ST,RIVERSIDE DR/W 82 ST,5 AV/W 56 ST,RIVERSIDE DR/W 91 ST,BROADWAY/W 137 ST,BROADWAY/W 167 ST,AV OF THE AMERICAS/W 40 ST,BROADWAY/W 174 ST,BROADWAY / W 135 ST,5 AV/W 50 ST,BROADWAY/W 139 ST,RIVERSIDE DR/W 73 ST,RIVERSIDE DR/W 116 ST,RIVERSIDE DR/W 89 ST,CENTRAL PK S/6 AV,BROADWAY/W 157 ST,BROADWAY/W 160 ST,BROADWAY/W 140 ST,RIVERSIDE DR/W 76 ST,W 72 ST/BROADWAY,W 72 ST/WEST END AV,W 31 ST/6 AV,BROADWAY/W 159 ST,BROADWAY/W 69 ST,BROADWAY/W 162 ST,5 AV/W 44 ST,BROADWAY/W 171 ST,RIVERSIDE DR/W 84 ST,BROADWAY/W 142 ST,BROADWAY/W 66 ST,RIVERSIDE DR/W 77 ST,RIVERSIDE DR/W 86 ST,BROADWAY/W 172 ST,5 AV/W 52 ST,RIVERSIDE DR/W 103 ST,BROADWAY/W 70 ST,RIVERSIDE DR/W 79 ST,BROADWAY/W 168 ST,RIVERSIDE DR/W 80 ST,AV OF THE AMERICAS/W 45 ST,RIVERSIDE DR/W 119 ST,BROADWAY/W 165 ST,BROADWAY/W 176 ST,6 AV/W 31 ST,BROADWAY/W 68 ST,BROADWAY/W 173 ST,BROADWAY/W 61 ST,BROADWAY/W 161 ST,AV OF THE AMERICAS/W 57 ST,BROADWAY/W 150 ST,RIVERSIDE DR/W 106 ST,RIVERSIDE DR/W 74 ST,W 178 ST/BROADWAY,RIVERSIDE DR/W 85 ST,5 AV/W 58 ST,RIVERSIDE DR/W 108 ST,RIVERSIDE DR/W 114 ST,RIVERSIDE DR/W 104 ST,RIVERSIDE DR/W 112 ST,AV OF THE AMERICAS/W 38 ST,CENTRAL PK S/AVE OF THE AMERICAS,AV OF THE AMERICAS/W 50 ST,RIVERSIDE DR/W 94 ST,5 AV/W 41 ST,BROADWAY/W 152 ST,AV OF THE AMERICAS/W 51 ST,CENTRAL PK S/COLUMBUS CI,RIVERSIDE DR/W 87 ST,BROADWAY/W 155 ST,5 AV/W 39 ST,AV OF THE AMERICAS/W 47 ST,BROADWAY/W 138 ST,CENTRAL PK S/7 AV,Michael J. Quill Depot (MQ)
BROADWAY/W 151 ST,,,,,,,,,,,,,0.143 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 153 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.857 WASHINGTON HEIGHTS GW BRIDGE,,,,,
BROADWAY/W 64 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBUS CIR/8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034 31 ST 6 AV,,,,,,,
BROADWAY/W 178 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 147 ST,,,,,,,,,,,,,,,,,,,,,0.331 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,0.198 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV OF THE AMERICAS/W 34 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.318 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,
AV OF THE AMERICAS/W 54 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERSIDE DR/W 122 ST,,,,,,,,0.418 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.435 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 149 ST,,,,,,,,,,,,0.159 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 163 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERSIDE DR/W 97 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.275 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.161 31 ST 6 AV,,,,,,,,,,,
BROADWAY/W 175 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.304 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,
RIVERSIDE DR/W 100 ST,,,,,,,,,,,,,,,,,,,,,,,0.572 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.058 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 35 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 33 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.434 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 145 ST,,,,,,,,,,,,,,,,,0.165 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.571 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERSIDE DR/W 82 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 31 ST 6 AV,,,,,,,,,,,,,,,0.266 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,
5 AV/W 56 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERSIDE DR/W 91 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,
BROADWAY/W 137 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 167 ST,,,,,,,,,,,0.254 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV OF THE AMERICAS/W 40 ST,,,,,0.162 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 174 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY / W 135 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 50 ST,,,,,,,0.342 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 139 ST,,,,,,0.149 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERSIDE DR/W 73 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERSIDE DR/W 116 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,0.183 31 ST 6 AV,,,,,,,,,,,,,,,,,
RIVERSIDE DR/W 89 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK S/6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.291 WASHINGTON HEIGHTS GW BRIDGE,
BROADWAY/W 157 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.368 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.218 31 ST 6 AV,,,,,
BROADWAY/W 160 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 140 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19 31 ST 6 AV,,
RIVERSIDE DR/W 76 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 72 ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,0.205 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 72 ST/WEST END AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.321 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,
W 31 ST/6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 159 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 69 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.567 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 162 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 44 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256 31 ST 6 AV,,,,,,,,,,
BROADWAY/W 171 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.181 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERSIDE DR/W 84 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 142 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 66 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.605 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERSIDE DR/W 77 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERSIDE DR/W 86 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 172 ST,0.134 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 52 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERSIDE DR/W 103 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 70 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.612 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERSIDE DR/W 79 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 168 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.278 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERSIDE DR/W 80 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.372 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV OF THE AMERICAS/W 45 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 WASHINGTON HEIGHTS GW BRIDGE,,,
RIVERSIDE DR/W 119 ST,,,,,,,,,,,,,,,,,,,,0.215 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,0.376 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 165 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 176 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 AV/W 31 ST,,,,,,,,,,,,,,,,,,0.275 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 68 ST,,,,,,,,,,0.992 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 173 ST,,,,,,,,,,,,,,,,,,,,,,,,0.163 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 61 ST,,,,,,,,,0.202 WASHINGTON HEIGHTS GW BRIDGE,,,,,,0.242 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 161 ST,,,,,,,,,,,,,,,,,,,,,,0.126 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV OF THE AMERICAS/W 57 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 150 ST,,,,,,,,,,,,,,,,,0.453 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
