stops,latitude,longtitude
OGDEN AV/W 168 ST,(40.8385193, -73.9261911)
W 169 ST/OGDEN AV,(40.8401909, -73.925276)
PLIMPTON AV/W 170 ST,(40.8411426, -73.9240086)
PLIMPTON AV/EDWARD L. GRANT HY,(40.8428619, -73.92274689999999)
EDWARD L GRANT HY/UNIVERSITY AV,(40.8440784, -73.92303439999999)
W 181 ST/AMSTERDAM AV,(40.8481001, -73.9309153)
W 181 ST/ST NICHOLAS AV,(40.8492959, -73.9337552)
WADSWORTH AV/W 181 ST,(40.8498268, -73.9349842)
W 179 ST/BROADWAY,(40.8489395, -73.9370656)
BROADWAY/W 178 ST,(40.8484282, -73.9376987)
W 181 ST/WADSWORTH AV,(40.8498268, -73.9349842)
OGDEN AV/UNIVERSITY AV,(40.8442157, -73.9236344)
OGDEN AV/W 171 ST,(40.8424747, -73.92413599999999)
OGDEN AV/W 169 ST,(40.8401909, -73.925276)
W 168 ST/NELSON AV,(40.8383565, -73.92493400000001)
WOODYCREST AV/W 168 ST,(40.8382073, -73.9237082)
W 170 ST/EDWARD L GRANT HY,(40.8403015, -73.9215584)
W 170 ST/JEROME AV,(40.84021, -73.917816)
E 170 ST/MORRIS AV,(40.8379508, -73.91135050000001)
E 170 ST/FINDLAY AV,(40.83714459999999, -73.90964439999999)
E 170 ST/CLAY AV,(40.8372102, -73.90798269999999)
CLAREMONT PKY/BOSTON RD,(40.83493, -73.89426399999999)
JENNINGS ST/SOUTHERN BL,(40.8324159, -73.8907103)
JENNINGS ST/HOE AV,(40.8320934, -73.8898007)
JENNINGS ST/LONGFELLOW AV,(40.8311993, -73.8872453)
W FARMS RD/BOONE AV,(40.83005989999999, -73.88636269999999)
W FARMS RD/BRYANT AV,(40.8279998, -73.8889567)
WEST FARMS RD/VYSE AV,(40.8269582, -73.8898367)
WEST FARMS RD/HOE AV,(40.82577080000001, -73.89090130000001)
BROADWAY/ISHAM ST,(40.86812030000001, -73.91975330000001)
W 207 ST/10 AV,(40.8644809, -73.91893519999999)
W FORDHAM RD/CEDAR AV,(40.8617469, -73.9118104)
SEDGWICK AV/WEBB AV,(40.86343, -73.90906149999999)
W FORDHAM RD/SEDGWICK AV,(40.8626938, -73.9090204)
W FORDHAM RD/UNIVERSITY AV,(40.862862, -73.904922)
W FORDHAM RD/JEROME AV,(40.8627679, -73.9010744)
E FORDHAM RD/GRAND CONCOURSE,(40.8624484, -73.8973448)
E FORDHAM RD/VALENTINE AV,(40.8622735, -73.8959069)
E FORDHAM RD/ELM PL,(40.861861, -73.893967)
E FORDHAM RD/3 AV,(40.861137, -73.890434)
E FORDHAM RD/BATHGATE AV,(40.8595729, -73.8874273)
E FORDHAM RD/HOFFMAN ST,(40.85887100000001, -73.885757)
E FORDHAM RD/CAMBRELENG AV,(40.8576822, -73.8827629)
E FORDHAM RD/SOUTHERN BL,(40.856464, -73.88014199999999)
PELHAM PKWY/WHITE PLAINS RD,(40.8563009, -73.8676435)
PELHAM PKWY/MULINER AV,(40.8507373, -73.86211209999999)
PELHAM PKY/WILLIAMSBRIDGE RD,(40.8550982, -73.85510719999999)
PELHAM PKWY/NARRAGANSETT AV,(40.8573332, -73.8516245)
PELHAM PKWY/JACOBI HOSP,(40.85741, -73.84738899999999)
PELHAM PKWY/EASTCHESTER RD,(40.8571465, -73.8437991)
PELHAM PKWY/STILLWELL AV,(40.8565344, -73.8369203)
PELHAM PKWY/ST PAUL AV,(40.8555174, -73.8305768)
AMENDOLA PL/WESTCHESTER AV,(40.8528332, -73.82736779999999)
BAY PLAZA BL/OPP STAPLES,(40.867245, -73.829185)
BAYCHESTER AV/IFO PC RICHARDS,(40.867939, -73.831161)
EDSON AV/BARTOW AV,(40.868285, -73.8331451)
BAY PLAZA BL/CO-OP CITY BL,(40.8668582, -73.8281226)
BAY PLAZA BL/APPLEBEE'S,(40.866283, -73.826859)
BARTOW AV/CO-OP CITY BL,(40.869413, -73.8260686)
AMENDOLA PL/WILKINSON AV,(40.85178399999999, -73.827202)
PELHAM PKWY/SEYMOUR AV,(40.858059, -73.84661899999999)
PELHAM PKWY/THROOP AV,(40.858586, -73.8512275)
PELHAM PKWY/WILLIAMSBRIDGE RD,(40.857025, -73.85623199999999)
PELHAM PKWY/BRONXWOOD AV,(40.8579979, -73.86166089999999)
E FORDHAM RD/CAMBERLENG AV,(40.8576822, -73.8827629)
E FORDHAM RD/WEBSTER AV,(40.8617455, -73.89133389999999)
E FORDHAM RD/DECATUR AV,(40.8619522, -73.89228059999999)
E FORDHAM RD/E 190 ST,(40.862427, -73.897858)
E FORDHAM RD/JEROME AV,(40.8627679, -73.9010744)
BROADWAY/W 207th ST,(40.867836, -73.92057)
W FORDHAM RD/ SEDGWICK AV,(40.8626938, -73.9090204)
E FORDHAM RD/WALTON AV,(40.8624829, -73.90029249999999)
BAYCHESTER AV/N.E. THRUWAY EXIT,(40.866447, -73.830818)
Mall/at bay Plaza,(40.86395359999999, -73.8273421)
BAY PLAZA BL/IFO JC PENNY,(40.8647649, -73.8263809)
E FORDHAM RD/ JEROME AV,(40.8627679, -73.9010744)
179 ST/BROADWAY,(40.8489395, -73.9370656)
OGDEN AV/W 167 ST,(40.8369441, -73.9271227)
OGDEN AV/W 166 ST,(40.83562970000001, -73.9278617)
OGDEN AV/W 165 ST,(40.8344108, -73.92855709999999)
OGDEN AV/W 164 ST,(40.832928, -73.9293931)
OGDEN AV/W 162 ST,(40.8316545, -73.930112)
JEROME AV/E 161 ST,(40.8299214, -73.9298934)
E 161 ST/RIVER AV,(40.82798289999999, -73.92585059999999)
E 161 ST/GERARD AV,(40.8276653, -73.9248641)
E 161 ST/SHERMAN AV,(40.8261513, -73.9202656)
E 161 ST/CONCOURSE VILLAGE E,(40.8255832, -73.9184645)
RIVER AV/E 157 ST,(40.8257263, -73.9271709)
E 161 ST/PARK AV,(40.8250007, -73.91660569999999)
E 161 ST/MELROSE AV,(40.8241959, -73.91384839999999)
RIVER AV/E 151 ST,(40.82254, -73.92878)
ELTON AV/E 161 ST,(40.8237169, -73.9122283)
RIVER AV/E 149 ST,(40.8193296, -73.9300945)
E 163 ST/ 3 AV,(40.8240731, -73.90871469999999)
E 163 ST/3 AV,(40.8240731, -73.90871469999999)
RIVER AV/E 150 ST,(40.8202836, -73.9297526)
E 161 ST/MORRIS AV,(40.8255832, -73.9184645)
JEROME AV/W 161 ST,(40.829983, -73.930183)
ST CLAIRE PL/W 125 ST,(40.817066, -73.959778)
W 125 ST/OLD BROADWAY,(40.8151642, -73.9578219)
W 125 ST/AMSTERDAM AV,(40.8133758, -73.9562662)
W 125 ST/MORNINGSIDE AV,(40.8113727, -73.95401989999999)
W 125 ST/ST NICHOLAS AV,(40.8107718, -73.95261459999999)
W 125 ST/FRED DOUGLASS BL,(40.8104378, -73.95084109999999)
W 125 ST/ADAM C POWELL BL,(40.8089388, -73.9482501)
W 125 ST/MALCOLM X  BL,(40.8075078, -73.9450909)
E 125 ST/5 AV,(40.8064194, -73.9422689)
E 125 ST/MADISON AV,(40.8054964, -73.9403169)
E 125 ST/PARK AV,(40.8050123, -73.9389017)
E 125 ST/LEXINGTON AV,(40.8043833, -73.9374304)
E 125 ST/3 AV,(40.803486, -73.93544)
E 125 ST/2 AV,(40.80300099999999, -73.934006)
E 125 ST/1 AV,(40.801613, -73.93126699999999)
WILLIS AV/E 138 ST,(40.80911270000001, -73.9228463)
WILLIS AV/E 140 ST,(40.8104199, -73.9219712)
WILLIS AV/E 142 ST,(40.811817, -73.9209175)
WILLIS AV/E 144 ST,(40.8129059, -73.92012609999999)
WILLIS AV/E 146 ST,(40.8141533, -73.91921549999999)
3 AV/WESTCHESTER AV,(40.8168018, -73.916328)
3 AV/E 152 ST,(40.817711, -73.91525299999999)
3 AV/E 153 ST,(40.81871, -73.914146)
3 AV/E 157 ST,(40.820751, -73.91255199999999)
3 AV/E 158 ST,(40.82148400000001, -73.9121705)
3 AV/E 161 ST,(40.82267, -73.90946199999999)
3 AV/E 163 ST,(40.824383, -73.908417)
3 AV/E 166 ST,(40.8277751, -73.9071799)
3 AV/E 168 ST,(40.830769, -73.90608999999999)
3 AV/E 169 ST,(40.8327151, -73.90497479999999)
3 AV/ST PAULS PL,(40.835953, -73.902878)
3 AV/CLAREMONT PKY,(40.8382356, -73.9011958)
3 AV/E 173 ST,(40.841156, -73.898918)
3 AV/E 174 ST,(40.842329, -73.898361)
3 AV/E 175 ST,(40.8478363, -73.9122158)
3 AV/E TREMONT AV,(40.8466722, -73.8961874)
3 AV/E 180 ST,(40.8506908, -73.89410629999999)
3 AV/E 184 ST,(40.85468789999999, -73.89040159999999)
3 AV/E 187 ST,(40.857204, -73.890991)
3 AV/E 188 ST,(40.85864309999999, -73.89112039999999)
3 AV/E 189 ST,(40.859898, -73.891098)
3 AV/E FORDHAM RD,(40.8611258, -73.89019)
3 AV/WASHINGTON AV,(40.857136, -73.891205)
3 AV/E 183 ST,(40.8541324, -73.8908848)
3 AV/CROSS BRONX EXP,(40.843311, -73.898018)
3 AV/E 172 ST,(40.839672, -73.9001085)
3 AV/CLAREMONT PY,(40.838043, -73.90119200000001)
3 AV/E 156 ST,(40.8201415, -73.9130692)
3 AV/E 154 ST,(40.818703, -73.91439799999999)
3 AV/E 150 ST,(40.8163105, -73.9173859)
WILLIS AV/E 148 ST,(40.8153526, -73.91824199999999)
E 138 ST/WILLIS AV,(40.80911270000001, -73.9228463)
E 138 ST/ALEXANDER AV,(40.8100683, -73.9251331)
E 138 ST/3 AV,(40.81097219999999, -73.9271377)
LINCOLN AV/E 136 ST,(40.80965399999999, -73.92836)
LINCOLN AV/BRUCKNER Bl,(40.807938, -73.929474)
E 128 ST/3 AV,(40.8056563, -73.93438739999999)
2 AV/E 126 ST,(40.803551, -73.933121)
W 125 ST/5 AV,(40.8064194, -73.9422689)
W 125 ST/MALCOLM X BL,(40.8075078, -73.9450909)
W 125 ST/BROADWAY,(40.81097510000001, -73.95309)
W 125 ST/ST CLAIRE PL,(40.817204, -73.959503)
W 125 ST/12 AV,(40.817913, -73.960167)
ROPES AV/BOSTON RD,(40.89013509999999, -73.8198731)
BOSTON RD/ROPES AV,(40.89013509999999, -73.8198731)
BOSTON RD/PROVOST AV,(40.885811, -73.828094)
DYRE AV/BOSTON RD,(40.88471089999999, -73.83132510000002)
DYRE AV/LIGHT ST,(40.8878059, -73.8312957)
E 233 ST/DYRE AV,(40.88915, -73.8313024)
E 233 ST/HARPER AV,(40.8892721, -73.8331096)
E 233 ST/SETON AV,(40.8889709, -73.83643889999999)
E 233 ST/MURDOCK AV,(40.8887703, -73.83924139999999)
BAYCHESTER AV/STRANG AV,(40.8901707, -73.84261029999999)
BAYCHESTER AV/EDENWALD AV,(40.8929394, -73.8436195)
BAYCHESTER AV/PITMAN AV,(40.89668229999999, -73.8451693)
PITMAN AV/HILL AV,(40.8974, -73.84142299999999)
MUNDY LA/NEREID AV,(40.900501, -73.839905)
NEREID AV/SETON AV,(40.900398, -73.8408077)
NEREID AV/MONTICELLO AV,(40.9002011, -73.8416975)
NEREID AV/MURDOCK AV,(40.8998281, -73.8434614)
NEREID AV/BAYCHESTER AV,(40.899265, -73.84602579999999)
NEREID AV/BRUNER AV,(40.8984799, -73.8496188)
NEREID AV/BYRON AV,(40.897842, -73.8525885)
NEREID AV/WHITE PLAINS RD,(40.8984444, -73.85427849999999)
NEREID AV/CARPENTER AV,(40.8993074, -73.8567573)
WEBSTER AV/E 240 ST,(40.9010634, -73.8615605)
WEBSTER AV/E 235 ST,(40.897766, -73.86264)
WEBSTER AV/E 233 ST,(40.8953852, -73.8635501)
E 233 ST/KATONAH AV,(40.8960848, -73.8669196)
E 233 ST/KEPLER AV,(40.8966477, -73.8705068)
E 233 ST/ONEIDA AV,(40.8962343, -73.8724172)
E 233 ST/NAPIER AV,(40.8957347, -73.8748049)
JEROME AV/E 233 ST,(40.8952453, -73.88003669999999)
BAINBRIDGE AV/JEROME AV,(40.8872542, -73.87790919999999)
BAINBRIDGE AV/E 212 ST,(40.88345899999999, -73.87773899999999)
E 206 ST/ROCHAMBEAU AV,(40.8748986, -73.8804335)
E 233 ST/JEROME AV,(40.8952453, -73.88003669999999)
E 233 ST/VAN CORTLANDT PK E,(40.895475, -73.8771737)
WEBSTER AV/NEREID AV,(40.9010634, -73.8615605)
NEREID AV/EDSON AV,(40.8990671, -73.8465922)
NEREID AV/MUNDY LA,(40.900501, -73.839905)
MUNDY LA/PITMAN AV,(40.900501, -73.839905)
PITMAN AV/MURDOCK AV,(40.897308, -73.842651)
E 233 ST/BAYCHESTER AV,(40.8884525, -73.8419834)
E 233 ST/SECOR AV,(40.8892827, -73.83220299999999)
BOSTON RD/CONNER ST,(40.885811, -73.828094)
MC OWEN AV/BOSTON RD,(40.88963260000001, -73.8205902)
HOLLERS AV/ROPES AV,(40.8881601, -73.8178683)
E 135 ST/ST ANN'S AV,(40.8049057, -73.9188279)
ST. ANN'S AV/E 138 ST,(40.8068287, -73.9174895)
ST. ANN'S AV/E 140 ST,(40.8081473, -73.916591)
ST. ANN'S AV/ST. MARY'S ST,(40.810509, -73.9151)
ST. ANN'S AV/E 146 ST,(40.8123198, -73.9141048)
E 149 ST/ST ANN'S AV,(40.8142733, -73.9129694)
E 149 ST/TRINITY AV,(40.8134282, -73.91002499999999)
E 149 ST/JACKSON AV,(40.8132328, -73.90908739999999)
E 149 ST/WALES AV,(40.8128663, -73.907258)
PROSPECT AV/E 149 ST,(40.8122918, -73.90449819999999)
PROSPECT AV/KELLY ST,(40.81514, -73.903404)
PROSPECT AV/E 156 ST,(40.817257, -73.90229)
PROSPECT AV/WESTCHESTER AV,(40.8196197, -73.9017399)
PROSPECT AV/E 163 ST,(40.8221083, -73.900556)
PROSPECT AV/E 165 ST,(40.8240703, -73.8997983)
PROSPECT AV/E 166 ST,(40.8257125, -73.8991206)
PROSPECT AV/HOME ST,(40.8279219, -73.89819740000002)
PROSPECT AV/E 169 ST,(40.8294216, -73.8975593)
PROSPECT AV/RITTER PL,(40.8310055, -73.89693849999999)
PROSPECT AV/BOSTON RD,(40.8335321, -73.89640779999999)
CROTONA AV/CLAREMONT PY,(40.836483, -73.89773149999999)
CROTONA AV/CROTONA PK BLDG,(40.839931, -73.89557599999999)
CROTONA AV/E 175 ST,(40.842855, -73.8934664)
CROTONA AV/E 176 ST,(40.8438253, -73.8924925)
CROTONA AV/E TREMONT AV,(40.845415, -73.8911352)
CROTONA AV/E 179 ST,(40.8467914, -73.88995369999999)
CROTONA AV/E 180 ST,(40.8481727, -73.8888133)
CROTONA AV/E 182 ST,(40.8503074, -73.88644359999999)
CROTONA AV/E 183 ST,(40.8517756, -73.8847416)
CROTONA AV/E 187 ST,(40.8539259, -73.8836385)
CROTONA AV/E FORDHAM RD,(40.8573658, -73.8818926)
WASHINGTON AV/E FORDHAM RD,(40.86035589999999, -73.88891989999999)
FORDHAM PLAZA/BUS TERMINAL,(40.860237, -73.890884)
CROTONA AV/E 189 ST,(40.8561303, -73.88252109999999)
CROTONA AV/TREMONT AV,(40.845415, -73.8911352)
CROTONA PK/CROTONA PK BLDG,(40.839443, -73.89600399999999)
PROSPECT AV/E 152 ST,(40.8149541, -73.90365620000001)
E 149 ST/TINTON AV,(40.8126831, -73.90634039999999)
E 149 ST/CONCORD AV,(40.8130561, -73.9081702)
ST. ANN'S AV/E 149 ST,(40.8142733, -73.9129694)
ST. ANN'S AV/E 143 ST,(40.8104215, -73.9151849)
ST. ANN'S AV/E 141 ST,(40.8087998, -73.91619039999999)
E 138 ST/ST ANNS AV,(40.8068287, -73.9174895)
E 138 ST/CYPRESS AV,(40.8055571, -73.91449879999999)
E 138 ST/JACKSON AV,(40.8048404, -73.9127965)
E 135 ST/CYPRESS AV,(40.8037164, -73.91584619999999)
SEDGWICK AV/HARLEM RIVER BRIDGE,(40.851994, -73.920738)
SEDGWICK AV/W TREMONT AV,(40.8528484, -73.9186872)
W TREMONT AV/MONTGOMERY AV,(40.8519215, -73.9164375)
UNIVERSITY AV/W TREMONT AV,(40.850269, -73.915497)
UNIVERSITY AV/ W 176 ST,(40.8490832, -73.91726419999999)
UNIVERSITY AV/W 176 ST,(40.8490832, -73.91726419999999)
MACOMBS RD/NELSON AV,(40.8487303, -73.9162282)
MACOMBS RD/FEATHERBED LA,(40.84549, -73.91722899999999)
MACOMBS RD/GOBLE PL,(40.8443835, -73.917492)
MACOMBS RD/INWOOD AV,(40.8419023, -73.9179586)
INWOOD AV/MACOMBS RD,(40.8419023, -73.9179586)
MACOMBS RD/GRAND AV,(40.846485, -73.9167737)
MACOMBS RD/W 176 ST,(40.8490078, -73.9160769)
W TREMONT AV/UNIVERSITY AV,(40.8505562, -73.9155127)
W TREMONT AV/LORING PL S,(40.8519215, -73.9164375)
UNDERCLIFF AV/SEDGWICK AV,(40.8422611, -73.92759889999999)
UNDERCLIFF AV/W 176 ST,(40.849815, -73.921532)
UNDERCLIFF AV/W 174 ST,(40.8475566, -73.9232102)
UNDERCLIFF AV/W 172 ST,(40.84507, -73.92462900000001)
UNDERCLIFF AV/BOSCOBEL PL,(40.8444307, -73.92505740000001)
SEDGWICK AV/W 172 ST,(40.845852, -73.92530099999999)
SEDGWICK AV/W 174 ST,(40.847775, -73.92431599999999)
SEDGWICK AV/W 176 ST,(40.851146, -73.92150099999999)
RIVERBANK/STATE PARK,(40.82642360000001, -73.9559555)
W 145 ST/RIVERSIDE DR,(40.8270792, -73.9519487)
W 145 ST/BROADWAY,(40.8264107, -73.9503568)
W 145 ST/AMSTERDAM AV,(40.8252439, -73.947615)
W 145 ST/CONVENT AV,(40.8246668, -73.94622389999999)
W 145 ST/ST NICHOLAS AV,(40.82402159999999, -73.9447158)
W 145 ST/FRED DOUGLASS BL,(40.8228318, -73.9419184)
W 145 ST/ADAM C POWELL BL,(40.8216147, -73.93898450000002)
W 145 ST/MALCOLM X BL,(40.8204155, -73.93624100000001)
E 149 ST/EXTERIOR ST,(40.8192717, -73.9303614)
E 149 ST/GRAND CONCOURSE,(40.818588, -73.927078)
E 149 ST/MORRIS AV,(40.8173545, -73.9227828)
E 149 ST/COURTLANDT AV,(40.8165213, -73.91956549999999)
E 149 ST/BERGEN AV,(40.81567580000001, -73.9168137)
